Hora_Anual,DNI_W_m2,H2_kg
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,225.0,0.4286
9,500.85,0.4286
10,732.4,0.4286
11,899.17,0.4286
12,986.41,0.4286
13,986.41,0.4286
14,899.17,0.4286
15,732.4,0.4286
16,500.85,0.4286
17,225.0,0.4286
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,237.48,0.4286
33,527.65,0.4286
34,771.19,0.4286
35,946.59,0.4286
36,1038.34,0.4286
37,1038.34,0.4286
38,946.59,0.4286
39,771.19,0.4286
40,527.65,0.4286
41,237.48,0.4286
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,238.17,0.4286
57,528.12,0.4286
58,771.46,0.4286
59,946.69,0.4286
60,1038.35,0.4286
61,1038.35,0.4286
62,946.69,0.4286
63,771.46,0.4286
64,528.12,0.4286
65,238.17,0.4286
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,0.0,0.0
70,0.0,0.0
71,0.0,0.0
72,0.0,0.0
73,0.0,0.0
74,0.0,0.0
75,0.0,0.0
76,0.0,0.0
77,0.0,0.0
78,0.0,0.0
79,0.0,0.0
80,238.92,0.4286
81,528.64,0.4286
82,771.74,0.4286
83,946.8,0.4286
84,1038.36,0.4286
85,1038.36,0.4286
86,946.8,0.4286
87,771.74,0.4286
88,528.64,0.4286
89,238.92,0.4286
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
